tree_id,longitude,latitude,common,scientific,link,health,notes,memorial
743,-76.488998,42.475938,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,3,,
744,-76.489083,42.475987,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,5,,
745,-76.489092,42.475903,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
746,-76.489188,42.475925,Hawthorn,Crataegus,https://en.wikipedia.org/wiki/Crataegus,3,Cockspur,
747,-76.489304,42.475887,Hawthorn,Crataegus,https://en.wikipedia.org/wiki/Crataegus,3,Cockspur,
748,-76.489356,42.475891,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
749,-76.489377,42.475939,Japanese Lilac Tree,Syringa reticulata,https://en.wikipedia.org/wiki/Syringa_reticulata,4,,
750,-76.489397,42.475837,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
751,-76.489275,42.475683,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
752,-76.489420,42.475657,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Southern,
753,-76.489586,42.475631,Littleleaf Linden,Tilia cordata,https://en.wikipedia.org/wiki/Tilia_cordata,5,,
754,-76.489597,42.475792,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
755,-76.489531,42.475855,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
756,-76.489506,42.475908,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,4,,
757,-76.489497,42.476129,Eastern White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,5,,
758,-76.489437,42.476131,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,3,Siberian,
759,-76.489289,42.476145,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
760,-76.489135,42.476386,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
761,-76.489112,42.476346,American Hornbeam,Carpinus caroliniana,https://en.wikipedia.org/wiki/Carpinus_caroliniana,5,,
762,-76.489100,42.476304,American Hornbeam,Carpinus caroliniana,https://en.wikipedia.org/wiki/Carpinus_caroliniana,5,,
763,-76.489114,42.476243,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,3,,
764,-76.489102,42.476224,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,5,,
765,-76.489067,42.476219,Red Pine,Pinus resinosa,https://en.wikipedia.org/wiki/Pinus_resinosa,5,,
766,-76.489067,42.476250,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,4,some disese,
767,-76.489054,42.476250,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,3,,
768,-76.489043,42.476246,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,3,,
769,-76.489024,42.476221,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
770,-76.489010,42.476231,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
771,-76.488999,42.476227,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
772,-76.488998,42.476257,Japanese Cherry,Prunus serrulata,https://en.wikipedia.org/wiki/Prunus_serrulata,5,Planted 2023,
773,-76.488983,42.476237,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
774,-76.488973,42.476233,Arborvitae,Thuja,https://en.wikipedia.org/wiki/Thuja,5,,
775,-76.488972,42.476204,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Siberian,
776,-76.488930,42.476210,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
