tree_id,longitude,latitude,common,scientific,link,health,notes,memorial
927,-76.486620,42.476099,Eastern White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,2,,
928,-76.486541,42.476015,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,4,,
929,-76.486493,42.476001,Eastern White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,3,,
930,-76.486514,42.475967,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,4,,
931,-76.486470,42.475892,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,5,,
932,-76.486469,42.475838,Common Lilac,Syringa vulgaris,https://en.wikipedia.org/wiki/Syringa_vulgaris,4,,
933,-76.486500,42.475764,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,5,,
934,-76.486431,42.475684,Littleleaf Linden,Tilia cordata,https://en.wikipedia.org/wiki/Tilia_cordata,1,Japanese beetle issue,
935,-76.486333,42.475777,Red Pine,Pinus resinosa,https://en.wikipedia.org/wiki/Pinus_resinosa,2,,
936,-76.486048,42.475853,Cornelian Cherry,Cornus mas,https://en.wikipedia.org/wiki/Cornus_mas,4,,
937,-76.486138,42.475902,Juniper,Juniperus communis,https://en.wikipedia.org/wiki/Juniperus_communis,3,,
938,-76.486187,42.475886,Common Lilac,Syringa vulgaris,https://en.wikipedia.org/wiki/Syringa_vulgaris,4,Cluster,
939,-76.486303,42.475895,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
940,-76.486360,42.475922,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
941,-76.486425,42.475965,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
